"구분별(1)",구분별(2),2019,2019,2019,2020,2020,2020
"구분별(1)",구분별(2),사례수 (명),있다 (%),없다 (%),사례수 (명),있다 (%),없다 (%)
"전체",소계,4457.7,10.4,89.6,7434.0,14.4,85.6
"성별",남,2375.6,9.5,90.5,3872.0,14.2,85.8
"성별",여,2082.1,11.6,88.4,3562.0,14.5,85.5
"연령",만10대미만,80.6,1.2,98.8,173.0,0.5,99.5
"연령",만10-19세,501.5,5.1,94.9,825.0,5.4,94.6
"연령",만20-29세,1022.5,18.7,81.3,1378.0,25.4,74.6
"연령",만30-39세,978.7,11.8,88.2,1420.0,25.2,74.8
"연령",만40-49세,867.8,7.9,92.1,1481.0,15.1,84.9
"연령",만50-59세,683.8,7.2,92.8,1373.0,5.5,94.5
"연령",만60-69세,273.7,5.0,95.0,666.0,2.2,97.8
"연령",만70세이상,49.1,3.8,96.2,119.0,1.4,98.6
"월평균소득",소득없음,1537.6,7.4,92.6,2477.0,9.0,91.0
"월평균소득",50만원미만,105.8,24.3,75.7,138.0,20.7,79.3
"월평균소득",50-100만원미만,136.8,14.5,85.5,222.0,9.6,90.4
"월평균소득",100-200만원미만,800.5,8.0,92.0,1120.0,9.1,90.9
"월평균소득",200-300만원미만,1081.3,13.8,86.2,1961.0,20.3,79.7
"월평균소득",300-400만원미만,504.8,13.7,86.3,1026.0,21.6,78.4
"월평균소득",400-500만원미만,173.2,7.9,92.1,266.0,18.2,81.8
"월평균소득",500만원이상,117.7,9.2,90.8,224.0,10.8,89.2
"학력1",미취학,9.2,0.0,100.0,13.0,0.0,100.0
"학력1",초졸이하,257.6,1.7,98.3,540.0,1.1,98.9
"학력1",중졸이하,266.7,4.1,95.9,505.0,1.8,98.2
"학력1",고졸이하,1338.4,6.4,93.6,2352.0,6.7,93.3
"학력1",대졸이하,2492.5,14.3,85.7,3892.0,22.6,77.4
"학력1",대학원재학이상,93.3,8.5,91.5,132.0,12.0,88.0
"지역",서울,699.2,14.9,85.1,1482.0,21.0,79.0
"지역",부산,393.5,3.5,96.5,524.0,6.8,93.2
"지역",대구,174.1,11.8,88.2,335.0,22.4,77.6
"지역",인천,245.4,10.3,89.7,452.0,15.1,84.9
"지역",광주,109.9,7.9,92.1,248.0,14.9,85.1
"지역",대전,230.3,6.0,94.0,213.0,4.0,96.0
"지역",울산,150.5,10.1,89.9,176.0,18.5,81.5
"지역",경기,1040.9,16.7,83.3,1907.0,14.3,85.7
"지역",강원,105.1,10.0,90.0,181.0,16.3,83.7
"지역",충북,249.7,1.1,98.9,264.0,8.1,91.9
"지역",충남,311.6,2.5,97.5,265.0,6.4,93.6
"지역",전북,139.4,4.1,95.9,262.0,14.6,85.4
"지역",전남,45.0,16.6,83.4,245.0,8.7,91.3
"지역",경북,135.2,15.4,84.6,291.0,15.7,84.3
"지역",경남,323.3,10.3,89.7,427.0,5.5,94.5
"지역",제주,58.9,3.5,96.5,83.0,22.2,77.8
"지역",세종,45.6,1.0,99.0,79.0,14.7,85.3
"지역구분2",시부,4257.9,10.6,89.4,7113.0,14.8,85.2
"지역구분2",군부,199.8,7.4,92.6,321.0,3.9,96.1
"종사상지위",임금근로자,2314.3,12.1,87.9,3968.0,18.5,81.5
"종사상지위",고용주,74.4,15.6,84.4,110.0,12.8,87.2
"종사상지위",단독자영업자,322.5,5.5,94.5,535.0,7.2,92.8
"종사상지위",무급가족종사자,39.9,15.3,84.7,66.0,15.2,84.8
"종사상지위",무직,1706.6,8.8,91.2,2755.0,9.8,90.2
"상세직업",관리자,100.1,13.5,86.5,189.0,27.5,72.5
"상세직업",전문가및관련종사자,479.3,14.2,85.8,773.0,22.4,77.6
"상세직업",사무종사자,778.8,14.6,85.4,1257.0,25.3,74.7
"상세직업",서비스종사자,321.3,10.8,89.2,592.0,9.3,90.7
"상세직업",판매종사자,447.5,7.3,92.7,753.0,11.3,88.7
"상세직업",농림어업종사자,34.6,2.7,97.3,67.0,1.1,98.9
"상세직업",기능원및관련기능종사자,174.9,12.9,87.1,291.0,16.5,83.5
"상세직업",장치기계조작및조립종사자,228.0,7.9,92.1,381.0,10.3,89.7
"상세직업",단순노무종사자,176.3,4.3,95.7,365.0,7.2,92.8
"상세직업",직업군인,10.3,42.9,57.1,12.0,0.0,100.0
"상세직업",학생,939.6,10.0,90.0,1428.0,10.6,89.4
"상세직업",전업주부,531.7,5.6,94.4,982.0,8.9,91.1
"상세직업",군인(직업군인제외),4.0,18.6,81.4,5.0,0.0,100.0
"상세직업",기타/무직,231.2,11.0,89.0,340.0,9.2,90.8
"주택형태",단독주택,1013.1,12.0,88.0,1495.0,12.6,87.4
"주택형태",아파트,2563.5,10.3,89.7,4292.0,12.5,87.5
"주택형태",연립주택빌라다세대주택,819.5,9.7,90.3,1528.0,19.7,80.3
"주택형태",비거주용건물내의주택,60.2,0.0,100.0,97.0,33.6,66.4
"주택형태",기타,1.4,0.0,100.0,23.0,35.1,64.9
"가족구성",1인가구,441.3,14.2,85.8,822.0,26.8,73.2
"가족구성",1세대가구,546.1,7.0,93.0,958.0,13.9,86.1
"가족구성",2세대가구,3036.0,10.4,89.6,5015.0,12.5,87.5
"가족구성",3세대가구,215.3,8.4,91.6,282.0,14.2,85.8
"가족구성",기타,219.0,13.8,86.2,357.0,12.6,87.4
"가구원수1",1인가구,441.3,14.2,85.8,822.0,26.8,73.2
"가구원수1",2인가구,919.5,9.5,90.5,1586.0,14.2,85.8
"가구원수1",3인이상가구,3096.9,10.2,89.8,5027.0,12.4,87.6
"가구주와의관계",가구주,1698.4,8.5,91.5,3091.0,15.0,85.0
"가구주와의관계",가구주의배우자,978.1,7.6,92.4,1709.0,10.9,89.1
"가구주와의관계",가구주의자녀,1644.5,14.1,85.9,2427.0,16.0,84.0
"가구주와의관계",자녀의배우자,19.8,6.1,93.9,34.0,9.7,90.3
"가구주와의관계",손자.녀/그배우자,43.0,0.0,100.0,67.0,16.0,84.0
"가구주와의관계",부모(배우자부모포함),11.1,0.0,100.0,20.0,0.0,100.0
"가구주와의관계",형제자매/그배우자,43.6,29.7,70.3,73.0,23.9,76.1
"가구주와의관계",기타친인척,15.2,5.2,94.8,10.0,0.0,100.0
"가구주와의관계",동거인,4.0,0.0,100.0,2.0,0.0,100.0
